epoch,train_loss,train_acc,val_loss,val_acc
1,0.3225,0.8904,0.1478,0.9434
2,0.1122,0.9639,0.0899,0.9683
3,0.0736,0.9778,0.0662,0.9819
4,0.0419,0.9895,0.0699,0.9729
5,0.0340,0.9880,0.0553,0.9796
6,0.0243,0.9925,0.0602,0.9774
7,0.0220,0.9947,0.0577,0.9819
8,0.0176,0.9928,0.0598,0.9819
9,0.0148,0.9959,0.0677,0.9774
10,0.0112,0.9977,0.0540,0.9819
11,0.0101,0.9974,0.0617,0.9819
12,0.0082,0.9981,0.0648,0.9842
13,0.0154,0.9951,0.0790,0.9819
14,0.0072,0.9974,0.0735,0.9751
15,0.0070,0.9981,0.0637,0.9819
16,0.0056,0.9985,0.0546,0.9819
17,0.0083,0.9992,0.0705,0.9751
18,0.0059,0.9970,0.0822,0.9729
19,0.0058,0.9985,0.0639,0.9819
20,0.0048,0.9985,0.0707,0.9796
21,0.0039,0.9996,0.0736,0.9819
22,0.0050,0.9989,0.0702,0.9819
